"番号","章番号","章","大項目番号","大項目","中項目番号","中項目","小項目番号","小項目","再掲","備考","Ａ","Ｂ","Ｃ","削除","KW計","H17","H21","H25","H30","患者調査による頻度"
"1240","Ⅹ","内分泌代謝","3","副甲状腺疾患、カルシウム・リン代謝異常","B","カルシウム・リン代謝異常","②","くる病、骨軟化症","1095","nan","0","5","1","0","5","1","1","1","2","くる病1、骨軟化症0"
"1241","Ⅹ","内分泌代謝","3","副甲状腺疾患、カルシウム・リン代謝異常","B","カルシウム・リン代謝異常","③","悪性腫瘍に伴う高カルシウム血症","nan","nan","2","3","1","0","1","nan","nan","1","nan","0"
"1242","Ⅹ","内分泌代謝","3","副甲状腺疾患、カルシウム・リン代謝異常","B","カルシウム・リン代謝異常","④","腫瘍性低リン血症性骨軟化症","nan","nan","0","1","5","0","1","nan","nan","nan","1","0"
"1243","Ⅹ","内分泌代謝","4","副腎皮質・髄質疾患","A","副腎皮質機能障害","①","Cushing症候群","nan","副腎腺腫、副腎過形成(ACTH非依存性大結節性副腎皮質過形成<AIMAH>)","4","1","1","0","18","5","4","7","2","1"
"1244","Ⅹ","内分泌代謝","4","副腎皮質・髄質疾患","A","副腎皮質機能障害","②","アルドステロン過剰症、原発性アルドステロン症","nan","nan","4","1","1","0","15","2","5","6","2","5"
"1245","Ⅹ","内分泌代謝","4","副腎皮質・髄質疾患","A","副腎皮質機能障害","③","慢性副腎不全<Addison病>","nan","Schmidt症候群","3","2","1","0","7","2","1","2","2","3"
"1246","Ⅹ","内分泌代謝","4","副腎皮質・髄質疾患","A","副腎皮質機能障害","④","急性副腎不全","nan","nan","4","1","1","0","2","nan","2","nan","nan","0"
"1247","Ⅹ","内分泌代謝","4","副腎皮質・髄質疾患","A","副腎皮質機能障害","⑤","副腎偶発腫","nan","nan","0","1","4","1","0","nan","nan","nan","nan","7"
"1248","Ⅹ","内分泌代謝","4","副腎皮質・髄質疾患","A","副腎皮質機能障害","⑥","副腎{皮質}癌","nan","nan","0","3","2","0","0","nan","nan","nan","nan","0"
"1249","Ⅹ","内分泌代謝","4","副腎皮質・髄質疾患","B","副腎髄質機能障害","①","褐色細胞腫","nan","nan","4","2","0","0","11","2","3","4","2","0"
"1250","Ⅹ","内分泌代謝","4","副腎皮質・髄質疾患","B","副腎髄質機能障害","②","神経芽腫","nan","nan","0","4","2","0","3","1","nan","nan","2","0"
"1250.5","Ⅹ","内分泌代謝","5","その他の内分泌疾患","A","性腺機能障害","KW","性腺機能低下症","nan","nan","0","0","0","0","6","5","1","nan","nan","0"
"1251","Ⅹ","内分泌代謝","5","その他の内分泌疾患","A","性腺機能障害","①","原発性性腺機能低下症","nan","Klinefelter症候群、Turner症候群","1","1","4","0","4","1","1","2","nan","0"
"1252","Ⅹ","内分泌代謝","5","その他の内分泌疾患","A","性腺機能障害","②","多囊胞性卵巣症候群<PCOS>","920","nan","1","3","1","0","8","4","1","2","1","3"
"1253","Ⅹ","内分泌代謝","5","その他の内分泌疾患","B","内分泌腫瘍","①","多発性内分泌腫瘍症","nan","MENⅠ型・Ⅱ型","1","4","1","0","7","2","3","nan","2","0"
"1254","Ⅹ","内分泌代謝","5","その他の内分泌疾患","B","内分泌腫瘍","②","消化管ホルモン産生腫瘍(消化管神経内分泌腫瘍)","nan","nan","0","2","4","0","0","nan","nan","nan","nan","0"
"1255","Ⅹ","内分泌代謝","5","その他の内分泌疾患","B","内分泌腫瘍","③","膵神経内分泌腫瘍","655","nan","0","4","2","0","8","3","3","1","1","0"
"1256","Ⅹ","内分泌代謝","5","その他の内分泌疾患","B","内分泌腫瘍","④","異所性ホルモン産生腫瘍","nan","nan","0","2","3","1","0","nan","nan","nan","nan","0"
"1257","Ⅹ","内分泌代謝","5","その他の内分泌疾患","B","その他の機能障害","①","ホルモン受容体異常症","nan","nan","0","2","3","1","0","nan","nan","nan","nan","0"
"1258","Ⅹ","内分泌代謝","6","糖{質}代謝異常","A","糖尿病","①","1型糖尿病","nan","自己免疫性、劇症1型","6","0","0","0","14","nan","6","4","4","82"
"1259","Ⅹ","内分泌代謝","6","糖{質}代謝異常","A","糖尿病","②","2型糖尿病","nan","nan","6","0","0","0","13","nan","1","8","4","2321"
"1260","Ⅹ","内分泌代謝","6","糖{質}代謝異常","A","糖尿病","③","二次性糖尿病、遺伝子異常による糖尿病","nan","nan","1","2","3","0","1","nan","nan","1","nan","0"
"1261","Ⅹ","内分泌代謝","6","糖{質}代謝異常","A","糖尿病","④","妊娠糖尿病","20","nan","2","3","1","0","10","2","3","1","4","0"
"1262","Ⅹ","内分泌代謝","6","糖{質}代謝異常","B","糖尿病の高血糖緊急症(急性合併症)","①","糖尿病ケトアシドーシス<DKA>","nan","nan","5","0","1","0","13","4","3","3","3","3"
"1263","Ⅹ","内分泌代謝","6","糖{質}代謝異常","B","糖尿病の高血糖緊急症(急性合併症)","②","高血糖高浸透圧症候群","nan","nan","4","0","1","0","4","1","1","1","1","0"
"1264","Ⅹ","内分泌代謝","6","糖{質}代謝異常","B","糖尿病の高血糖緊急症(急性合併症)","③","乳酸アシドーシス","nan","nan","4","1","1","0","6","2","1","1","2","0"
"1265","Ⅹ","内分泌代謝","6","糖{質}代謝異常","C","糖尿病の慢性合併症","①","糖尿病網膜症","275","nan","2","4","0","0","23","7","6","7","3","343"
"1266","Ⅹ","内分泌代謝","6","糖{質}代謝異常","C","糖尿病の慢性合併症","②","糖尿病腎症","787","nan","5","1","0","0","18","4","4","6","4","344"
"1267","Ⅹ","内分泌代謝","6","糖{質}代謝異常","C","糖尿病の慢性合併症","③","糖尿病神経障害","nan","nan","4","1","1","0","1","nan","nan","1","nan","113"
"1268","Ⅹ","内分泌代謝","6","糖{質}代謝異常","C","糖尿病の慢性合併症","④","糖尿病足病変","nan","nan","1","4","1","0","0","nan","nan","nan","nan","4"
"1269","Ⅹ","内分泌代謝","6","糖{質}代謝異常","C","糖尿病の慢性合併症","⑤","大血管障害","nan","nan","1","3","1","0","0","nan","nan","nan","nan","0"
"1269.5","Ⅹ","内分泌代謝","6","糖{質}代謝異常","D","低血糖症","KW","低血糖、低血糖性昏睡","nan","nan","0","0","0","0","32","8","5","10","9","0"
"1270","Ⅹ","内分泌代謝","6","糖{質}代謝異常","D","低血糖症","①","インスリノーマ","nan","nan","0","5","1","0","8","nan","2","2","4","0"
"1271","Ⅹ","内分泌代謝","6","糖{質}代謝異常","D","低血糖症","②","インスリン自己免疫症候群","nan","nan","0","4","1","0","3","nan","nan","2","1","0"
"1272","Ⅹ","内分泌代謝","6","糖{質}代謝異常","D","低血糖症","③","薬剤による低血糖","nan","nan","1","1","4","0","0","nan","nan","nan","nan","0"
"1273","Ⅹ","内分泌代謝","6","糖{質}代謝異常","D","低血糖症","④","内分泌異常による低血糖","nan","nan","0","3","3","0","0","nan","nan","nan","nan","0"
"1274","Ⅹ","内分泌代謝","6","糖{質}代謝異常","D","低血糖症","⑤","膵外腫瘍","nan","nan","0","0","6","0","0","nan","nan","nan","nan","0"
"1275","Ⅹ","内分泌代謝","6","糖{質}代謝異常","D","低血糖症","⑥","反応性低血糖","nan","nan","0","2","4","0","0","nan","nan","nan","nan","0"
"1276","Ⅹ","内分泌代謝","6","糖{質}代謝異常","E","糖代謝異常","①","乳糖分解酵素障害症<乳糖不耐症>","nan","nan","0","5","1","0","1","1","nan","nan","nan","0"
"1277","Ⅹ","内分泌代謝","7","脂質代謝異常","A","脂質異常症","①","原発性高脂血症","nan","家族性高コレステロール血症<FH>","6","0","0","0","11","2","1","5","3","2178"
"1278","Ⅹ","内分泌代謝","7","脂質代謝異常","A","脂質異常症","②","二次性高脂血症","nan","nan","1","3","2","0","1","nan","nan","nan","1","0"
"1279","Ⅹ","内分泌代謝","7","脂質代謝異常","B","肥満症","①","単純性肥満","nan","nan","5","0","1","0","2","1","nan","1","nan","10"
"1280","Ⅹ","内分泌代謝","7","脂質代謝異常","B","肥満症","②","症候性肥満","nan","nan","2","3","1","0","0","nan","nan","nan","nan","0"
"1281","Ⅹ","内分泌代謝","7","脂質代謝異常","B","肥満症","③","メタボリックシンドローム","nan","nan","5","0","1","0","12","1","6","2","3","0"
"1282","Ⅹ","内分泌代謝","8","タンパク・アミノ酸代謝異常","A","血清タンパクの異常","①","低タンパク血症","nan","nan","1","3","1","1","0","nan","nan","nan","nan","0"
"1283","Ⅹ","内分泌代謝","8","タンパク・アミノ酸代謝異常","B","アミロイドーシス","①","全身性アミロイドーシス","nan","原発性、続発性","1","4","1","0","6","nan","1","4","1","0"
"1284","Ⅹ","内分泌代謝","9","その他の代謝異常","A","ビタミン類の代謝異常","①","ビタミン欠乏症","nan","ビタミンBl欠乏症(Wernicke脳症)、ナイアシン<ニコチン酸>欠乏(ペラグラ)","3","2","1","0","12","5","0","5","2","1"
"1285","Ⅹ","内分泌代謝","9","その他の代謝異常","A","ビタミン類の代謝異常","②","ビタミン過剰症","nan","nan","0","2","4","0","1","1","nan","nan","nan","0"
"1286","Ⅹ","内分泌代謝","9","その他の代謝異常","B","プリン(尿酸)代謝の異常","①","痛風","1122","nan","6","0","0","0","10","1","2","5","2","272"
"1287","Ⅹ","内分泌代謝","9","その他の代謝異常","B","プリン(尿酸)代謝の異常","②","高尿酸血症","nan","Lesch-Nyhan症候群","4","2","0","0","12","2","3","3","4","164"
"1288","Ⅹ","内分泌代謝","9","その他の代謝異常","C","ポルフィリン代謝の異常","①","ポルフィリン症","nan","nan","1","1","4","0","0","nan","nan","nan","nan","0"
"1288.5","Ⅹ","内分泌代謝","nan","その他の代謝異常","D","ビリルビン代謝の異常","KW","黄疸","nan","nan","0","0","0","0","14","4","4","3","3","0"
"1289","Ⅹ","内分泌代謝","9","その他の代謝異常","D","ビリルビン代謝の異常","①","体質性黄疸","698","nan","1","3","2","0","3","nan","nan","2","1","0"
"1290","Ⅹ","内分泌代謝","9","その他の代謝異常","E","金属代謝の異常","①","ヘモクロマトーシス","640","nan","0","2","4","0","0","nan","nan","nan","nan","1"
"1291","Ⅹ","内分泌代謝","9","その他の代謝異常","E","金属代謝の異常","②","Wilson病","641","Kayser-Fleischer輪","0","4","2","0","3","1","1","1","nan","0"
"1292","Ⅹ","内分泌代謝","9","その他の代謝異常","E","金属代謝の異常","③","Menkes病","nan","nan","0","0","2","4","1","nan","nan","1","nan","0"
"1293","Ⅹ","内分泌代謝","9","その他の代謝異常","E","金属代謝の異常","④","亜鉛欠乏症候群<腸性肢端皮膚炎>","nan","nan","0","1","5","0","2","1","1","nan","nan","3"
"1294","Ⅹ","内分泌代謝","9","その他の代謝異常","F","コラーゲン代謝の異常","①","Marfan症候群","563","nan","0","5","1","0","16","6","3","6","1","0"
"1295","Ⅹ","内分泌代謝","9","その他の代謝異常","F","コラーゲン代謝の異常","②","Ehlers-Danlos症候群","nan","nan","0","2","4","0","0","nan","nan","nan","nan","0"
"1296","Ⅹ","内分泌代謝","9","その他の代謝異常","G","エラスチン代謝の異常","①","弾性線維性偽性黄色腫","nan","nan","0","1","3","2","0","nan","nan","nan","nan","0"
"1297","Ⅹ","内分泌代謝","10","その他の重要な小児領域の疾患","A","間脳、下垂体、甲状 腺、副腎その他の疾患","①","成長ホルモン分泌不全性低身長","nan","nan","1","3","2","0","14","4","2","6","2","8"
"1298","Ⅹ","内分泌代謝","10","その他の重要な小児領域の疾患","A","間脳、下垂体、甲状 腺、副腎その他の疾患","②","クレチン症","nan","nan","1","3","2","0","4","2","1","1","nan","2"
"1299","Ⅹ","内分泌代謝","10","その他の重要な小児領域の疾患","A","間脳、下垂体、甲状 腺、副腎その他の疾患","③","先天性副腎皮質過形成","80","nan","0","3","3","0","0","nan","nan","nan","nan","0"
"1300","Ⅹ","内分泌代謝","10","その他の重要な小児領域の疾患","A","間脳、下垂体、甲状 腺、副腎その他の疾患","④","性早熟症<思春期早発症>","nan","McCune-Albright症候群","0","3","3","0","0","nan","nan","nan","nan","2"
"1301","Ⅹ","内分泌代謝","10","その他の重要な小児領域の疾患","B","糖{質}代謝異常","①","アセトン血性嘔吐症<周期性嘔吐症>","nan","nan","4","0","2","0","2","nan","nan","2","nan","0"
"1302","Ⅹ","内分泌代謝","10","その他の重要な小児領域の疾患","B","糖{質}代謝異常","②","新生児低血糖症","nan","nan","1","0","5","0","0","nan","nan","nan","nan","1"
"1303","Ⅹ","内分泌代謝","10","その他の重要な小児領域の疾患","B","糖{質}代謝異常","③","ケトン性低血糖症","nan","nan","1","0","5","0","3","1","1","1","nan","2"
"1304","Ⅹ","内分泌代謝","10","その他の重要な小児領域の疾患","C","先天代謝異常","①","糖原病","nan","von Gierke病、Pompe病","1","0","5","0","0","nan","nan","nan","nan","0"
"1305","Ⅹ","内分泌代謝","10","その他の重要な小児領域の疾患","C","先天代謝異常","②","ガラクトース血症","nan","nan","0","0","6","0","0","nan","nan","nan","nan","0"
"1306","Ⅹ","内分泌代謝","10","その他の重要な小児領域の疾患","C","先天代謝異常","③","リピドーシス","nan","Tay-Sachs病、Gaucher病、 Niemann-Pick病、Fabry病","0","0","6","0","1","nan","1","nan","nan","2"
"1307","Ⅹ","内分泌代謝","10","その他の重要な小児領域の疾患","C","先天代謝異常","④","ムコ多糖症","nan","Hurler症候群、Hunter症候群","0","0","6","0","1","1","nan","nan","nan","0"
"1308","Ⅹ","内分泌代謝","10","その他の重要な小児領域の疾患","C","先天代謝異常","⑤","先天性アミノ酸代謝異常症","nan","フェニルケトン尿症<高フェニルアラニン血症>、ホモシスチン尿症、メープルシロップ尿症","0","0","6","0","0","nan","nan","nan","nan","1"
"1309","Ⅹ","内分泌代謝","10","その他の重要な小児領域の疾患","C","先天代謝異常","⑥","尿素サイクル異常症","nan","オルニチントランスカルバミラーゼ欠損症","0","0","5","1","1","nan","nan","nan","1","0"
"1310","Ⅹ","内分泌代謝","10","その他の重要な小児領域の疾患","C","先天代謝異常","⑦","有機酸代謝異常症","nan","nan","0","0","5","1","0","nan","nan","nan","nan","0"
"1311","Ⅹ","内分泌代謝","11","乳腺・乳房疾患","A","炎症、感染症","①","乳腺炎","37","nan","2","3","1","0","3","1","1","1","nan","0"
"1311.5","Ⅹ","内分泌代謝","11","乳腺・乳房疾患","B","腫瘍","KW","乳腺腫瘍","nan","nan","0","0","0","0","4","1","1","2","nan","0"
"1312","Ⅹ","内分泌代謝","11","乳腺・乳房疾患","B","腫瘍","①","乳管内乳頭腫","nan","nan","0","2","4","0","3","1","nan","2","nan","0"
"1313","Ⅹ","内分泌代謝","11","乳腺・乳房疾患","B","腫瘍","②","乳腺線維腺腫","nan","nan","0","2","4","0","5","1","nan","2","2","0"
"1314","Ⅹ","内分泌代謝","11","乳腺・乳房疾患","B","腫瘍","③","乳腺葉状腫瘍","nan","nan","0","2","4","0","2","nan","nan","1","1","0"
"1315","Ⅹ","内分泌代謝","11","乳腺・乳房疾患","B","腫瘍","④","乳癌","nan","乳管癌、小葉癌、乳房Paget病","4","1","1","0","30","4","10","11","5","232"
"1316","Ⅹ","内分泌代謝","11","乳腺・乳房疾患","C","その他の疾患","①","乳腺症","nan","nan","1","3","2","0","1","nan","nan","1","nan","0"
"1317","ⅩⅠ","小","1","アレルギー性疾患","A","全身性","①","アナフィラキシー","nan","nan","6","0","0","0","29","5","14","7","3","1"
"1318","ⅩⅠ","アレ膠免疫","1","アレルギー性疾患","A","全身性","②","薬物アレルギー","nan","nan","5","0","1","0","1","nan","1","nan","nan","0"
"1319","ⅩⅠ","アレ膠免疫","1","アレルギー性疾患","A","全身性","③","食物アレルギー","nan","食物依存性運動誘発アナフィラキシー","5","0","1","0","12","nan","4","7","1","0"
"1320","ⅩⅠ","アレ膠免疫","1","アレルギー性疾患","A","全身性","④","血清病","nan","nan","0","1","5","0","0","nan","nan","nan","nan","0"
"1321","ⅩⅠ","アレ膠免疫","1","アレルギー性疾患","A","全身性","⑤","昆虫アレルギー","nan","nan","0","0","5","0","0","nan","nan","nan","nan","0"
"1322","ⅩⅠ","アレ膠免疫","1","アレルギー性疾患","A","全身性","⑥","職業性アレルギー","nan","nan","1","4","1","0","3","3","nan","nan","nan","0"
"1323","ⅩⅠ","アレ膠免疫","1","アレルギー性疾患","B","皮膚、粘膜","①","アレルギー性結膜炎","nan","nan","5","0","1","0","2","1","nan","nan","1","153"
"1324","ⅩⅠ","アレ膠免疫","1","アレルギー性疾患","B","皮膚、粘膜","②","鼻アレルギー<アレルギー性鼻炎>","1509","nan","5","1","0","0","6","1","1","2","2","658"
"1325","ⅩⅠ","アレ膠免疫","1","アレルギー性疾患","B","皮膚、粘膜","③","花粉症","nan","口腔アレルギー症候群","5","0","1","0","5","1","1","3","nan","11"
"1326","ⅩⅠ","アレ膠免疫","1","アレルギー性疾患","B","皮膚、粘膜","④","蕁麻疹","nan","nan","5","0","1","0","1","1","nan","nan","nan","0"
"1327","ⅩⅠ","アレ膠免疫","1","アレルギー性疾患","B","皮膚、粘膜","⑤","アトピー性皮膚炎","140","nan","5","0","1","0","15","4","4","5","2","513"
"1328","ⅩⅠ","アレ膠免疫","1","アレルギー性疾患","B","皮膚、粘膜","⑥","アレルギー性接触皮膚炎","1510","nan","4","0","1","0","0","nan","nan","nan","nan","11"
"1329","ⅩⅠ","アレ膠免疫","1","アレルギー性疾患","B","皮膚、粘膜","⑦","血管性浮腫","147","Clインヒビター欠損症","3","1","1","0","5","2","1","1","1","0"
"1330","ⅩⅠ","アレ膠免疫","1","アレルギー性疾患","C","呼吸器","①","気管支喘息","422","NSAIDs過敏喘息","5","0","1","0","53","18","12","15","8","1117"
"1331","ⅩⅠ","アレ膠免疫","1","アレルギー性疾患","C","呼吸器","②","好酸球性肺疾患","nan","nan","0","1","5","0","0","nan","nan","nan","nan","2"
"1332","ⅩⅠ","アレ膠免疫","1","アレルギー性疾患","C","呼吸器","③","アレルギー性気管支肺アスペルギルス症","424","nan","0","4","2","0","5","1","1","2","1","4"
"1333","ⅩⅠ","アレ膠免疫","1","アレルギー性疾患","C","呼吸器","④","過敏性肺炎","425, 1508","nan","0","6","0","0","9","4","1","3","1","1"
"1333.5","ⅩⅠ","アレ膠免疫","nan","膠原病と類縁疾患","A","膠原病","KW","膠原病","nan","nan","0","0","0","0","8","2","2","4","nan","0"
"1334","ⅩⅠ","アレ膠免疫","2","膠原病と類縁疾患","A","膠原病","①","全身性エリテマトーデス<SLE>","791","nan","6","0","0","0","28","6","3","15","4","40"
"1335","ⅩⅠ","アレ膠免疫","2","膠原病と類縁疾患","A","膠原病","②","全身性強皮症","792","nan","3","2","1","0","11","2","nan","3","6","15"
"1336","ⅩⅠ","アレ膠免疫","2","膠原病と類縁疾患","A","膠原病","③","皮膚筋炎、多発性筋炎","nan","nan","4","1","1","0","13","4","nan","8","1","皮膚筋炎6、多発性筋炎7"
"1337","ⅩⅠ","アレ膠免疫","2","膠原病と類縁疾患","A","膠原病","④","結節性多発動脈炎","794","nan","4","0","2","0","1","nan","nan","1","nan","3"
"1338","ⅩⅠ","アレ膠免疫","2","膠原病と類縁疾患","A","膠原病","⑤","関節リウマチ","793, 1121","nan","6","0","0","0","37","4","9","10","14","370"
"1339","ⅩⅠ","アレ膠免疫","2","膠原病と類縁疾患","B","血管炎を主とする類縁疾患","①","巨細胞性動脈炎<側頭動脈炎>","nan","nan","3","2","1","0","2","nan","nan","1","1","2"
"1340","ⅩⅠ","アレ膠免疫","2","膠原病と類縁疾患","B","血管炎を主とする類縁疾患","②","高安動脈炎<大動脈炎症候群>","562","nan","1","4","1","0","2","nan","1","1","nan","3"
"1341","ⅩⅠ","アレ膠免疫","2","膠原病と類縁疾患","B","血管炎を主とする類縁疾患","③","顕微鏡的多発血管炎","795, 428","ANCA関連血管炎","1","3","2","0","21","nan","2","11","8","4"
"1342","ⅩⅠ","アレ膠免疫","2","膠原病と類縁疾患","B","血管炎を主とする類縁疾患","④","多発血管炎性肉芽腫症<Wegener肉芽腫症>","429, 796","nan","1","3","2","0","3","nan","2","1","nan","2"
"1343","ⅩⅠ","アレ膠免疫","2","膠原病と類縁疾患","B","血管炎を主とする類縁疾患","⑤","好酸球性多発血管炎性肉芽腫症<Churg-Strauss症候群>","430","nan","1","2","3","0","5","2","1","2","nan","2"
"1344","ⅩⅠ","アレ膠免疫","2","膠原病と類縁疾患","B","血管炎を主とする類縁疾患","⑥","皮膚白血球破砕性血管炎","nan","nan","0","0","5","1","0","nan","nan","nan","nan","0"
"1345","ⅩⅠ","アレ膠免疫","2","膠原病と類縁疾患","B","血管炎を主とする類縁疾患","⑦","IgA血管炎<Schönlein-Henoch紫斑病>","765","nan","1","3","1","0","9","2","4","2","1","5"
"1346","ⅩⅠ","アレ膠免疫","2","膠原病と類縁疾患","B","血管炎を主とする類縁疾患","⑧","クリオグロブリン血症性血管炎","nan","nan","0","0","5","1","0","nan","nan","nan","nan","0"
"1347","ⅩⅠ","アレ膠免疫","2","膠原病と類縁疾患","B","血管炎を主とする類縁疾患","⑨","抗GBM病","nan","Goodpasture症候群","0","2","4","0","2","nan","2","nan","nan","0"
"1348","ⅩⅠ","アレ膠免疫","2","膠原病と類縁疾患","C","関節炎を主体とする類縁疾患","①","悪性関節リウマチ","nan","nan","0","3","2","0","1","nan","nan","1","nan","0"
"1349","ⅩⅠ","アレ膠免疫","2","膠原病と類縁疾患","C","関節炎を主体とする類縁疾患","②","成人Still病","nan","nan","1","3","1","0","5","nan","3","1","1","3"
"1350","ⅩⅠ","アレ膠免疫","2","膠原病と類縁疾患","C","関節炎を主体とする類縁疾患","③","強直性脊椎炎","1085","nan","0","3","2","0","2","nan","nan","nan","2","1"
"1351","ⅩⅠ","アレ膠免疫","2","膠原病と類縁疾患","C","関節炎を主体とする類縁疾患","④","反応性関節炎","nan","Reiter症候群","1","3","1","0","0","nan","nan","nan","nan","0"
"1352","ⅩⅠ","アレ膠免疫","2","膠原病と類縁疾患","C","関節炎を主体とする類縁疾患","⑤","Felty症候群","nan","nan","0","0","5","1","0","nan","nan","nan","nan","0"
"1353","ⅩⅠ","アレ膠免疫","2","膠原病と類縁疾患","C","関節炎を主体とする類縁疾患","⑥","乾癬性関節炎","nan","nan","0","2","3","0","2","nan","1","1","nan","0"
"1354","ⅩⅠ","アレ膠免疫","2","膠原病と類縁疾患","C","関節炎を主体とする類縁疾患","⑦","掌蹠膿疱症性関節炎","nan","nan","0","2","3","0","1","nan","nan","nan","1","39"
"1355","ⅩⅠ","アレ膠免疫","2","膠原病と類縁疾患","C","関節炎を主体とする類縁疾患","⑧","結晶誘発性関節炎","nan","痛風、偽痛風","2","2","2","0","7","nan","1","3","3","108"
"1356","ⅩⅠ","アレ膠免疫","2","膠原病と類縁疾患","D","その他の類縁疾患","①","混合性結合組織病<MCTD>","nan","nan","1","4","1","0","2","1","nan","1","nan","6"
"1357","ⅩⅠ","アレ膠免疫","2","膠原病と類縁疾患","D","その他の類縁疾患","②","Sjögren症候群","814","nan","3","2","1","0","8","nan","2","4","2","32"
"1358","ⅩⅠ","アレ膠免疫","2","膠原病と類縁疾患","D","その他の類縁疾患","③","抗リン脂質抗体症候群","nan","nan","1","4","1","0","9","5","1","2","1","0"
"1359","ⅩⅠ","アレ膠免疫","2","膠原病と類縁疾患","D","その他の類縁疾患","④","リウマチ性多発筋痛症","nan","nan","4","1","1","0","5","nan","1","1","3","24"
"1360","ⅩⅠ","アレ膠免疫","2","膠原病と類縁疾患","D","その他の類縁疾患","⑤","サルコイドーシス","270, 427","nan","3","2","1","0","8","1","4","3","nan","16"
"1361","ⅩⅠ","アレ膠免疫","2","膠原病と類縁疾患","D","その他の類縁疾患","⑥","Behçet病","269","nan","3","2","1","0","7","2","1","3","1","9"
"1362","ⅩⅠ","アレ膠免疫","2","膠原病と類縁疾患","D","その他の類縁疾患","⑦","再発性多発軟骨炎","nan","nan","0","3","3","0","0","nan","nan","nan","nan","1"
"1363","ⅩⅠ","アレ膠免疫","2","膠原病と類縁疾患","D","その他の類縁疾患","⑧","アミロイドーシス","432","nan","1","4","1","0","0","nan","nan","nan","nan","3"
"1364","ⅩⅠ","アレ膠免疫","2","膠原病と類縁疾患","D","その他の類縁疾患","⑨","IgG4関連疾患","nan","nan","1","3","2","0","0","nan","nan","nan","nan","0"
"1365","ⅩⅠ","アレ膠免疫","2","膠原病と類縁疾患","D","その他の類縁疾患","⑩","線維筋痛症","nan","nan","0","4","2","0","1","nan","nan","nan","1","5"
"1366","ⅩⅠ","アレ膠免疫","2","膠原病と類縁疾患","D","その他の類縁疾患","⑪","慢性疲労症候群","nan","nan","0","3","2","0","0","nan","nan","nan","nan","9"
"1366.5","ⅩⅠ","アレ膠免疫","nan","nan","nan","KW","nan","免疫不全、原発性免疫不全","nan","nan","0","0","0","0","8","3","1","3","1","0"
"1367","ⅩⅠ","アレ膠免疫","3","原発性免疫不全症","A","複合型免疫不全症","①","重症複合免疫不全症","nan","nan","0","2","4","0","1","nan","nan","1","nan","0"
"1368","ⅩⅠ","アレ膠免疫","3","原発性免疫不全症","B","抗体産生不全を主とする免疫不全症","①","無ガンマグロブリン血症","nan","nan","0","2","4","0","0","nan","nan","nan","nan","0"
"1369","ⅩⅠ","アレ膠免疫","3","原発性免疫不全症","B","抗体産生不全を主とする免疫不全症","②","分類不能型免疫不全症","nan","nan","0","1","2","3","0","nan","nan","nan","nan","0"
"1370","ⅩⅠ","アレ膠免疫","3","原発性免疫不全症","B","抗体産生不全を主とする免疫不全症","③","高IgM症候群","nan","nan","0","1","4","1","0","nan","nan","nan","nan","0"
"1371","ⅩⅠ","アレ膠免疫","3","原発性免疫不全症","C","他のよく定義された免疫不全症","①","Wiskott-Aldrich症候群","nan","nan","0","1","5","0","3","2","nan","1","nan","0"
"1372","ⅩⅠ","アレ膠免疫","3","原発性免疫不全症","C","他のよく定義された免疫不全症","②","毛細血管拡張性失調症<ataxiatelangiectasia>","nan","nan","0","1","5","0","1","nan","nan","nan","1","1"
"1373","ⅩⅠ","アレ膠免疫","3","原発性免疫不全症","C","他のよく定義された免疫不全症","③","胸腺低形成<DiGeorge症候群>","nan","nan","0","1","5","0","2","1","1","nan","nan","0"
"1374","ⅩⅠ","アレ膠免疫","3","原発性免疫不全症","D","免疫調節不全症","①","Chédiak-Higashi症候群","729","nan","0","1","4","1","0","nan","nan","nan","nan","0"
"1375","ⅩⅠ","アレ膠免疫","3","原発性免疫不全症","E","食細胞機能不全症","①","慢性肉芽腫症、重症先天性好中球減少症","728","nan","0","1","5","0","5","1","nan","4","nan","0"
"1376","ⅩⅠ","アレ膠免疫","3","原発性免疫不全症","F","補体欠損症","中","補体欠損症","nan","C1インヒビター欠損症","0","2","3","1","0","nan","nan","nan","nan","0"
"1377","ⅩⅠ","アレ膠免疫","3","原発性免疫不全症","G","自己炎症性疾患","①","家族性地中海熱","nan","nan","0","3","3","0","0","nan","nan","nan","nan","0"
"1378","ⅩⅠ","アレ膠免疫","4","続発性免疫不全症","A","感染による免疫不全症","①","後天性免疫不全症候群<AIDS>","nan","nan","4","1","1","0","9","1","2","6","nan","9"
"1379","ⅩⅠ","アレ膠免疫","4","続発性免疫不全症","B","悪性腫瘍による免疫不全症","中","悪性腫瘍による免疫不全症","nan","nan","3","2","1","0","0","nan","nan","nan","nan","0"
"1380","ⅩⅠ","アレ膠免疫","4","続発性免疫不全症","C","自己免疫疾患による免疫不全症","中","自己免疫疾患による免疫不全症","nan","nan","3","2","1","0","0","nan","nan","nan","nan","0"
"1381","ⅩⅠ","アレ膠免疫","4","続発性免疫不全症","D","医原性免疫不全症","中","医原性免疫不全症","nan","nan","2","2","1","0","0","nan","nan","nan","nan","0"
"1382","ⅩⅠ","アレ膠免疫","5","その他の重要な小児領域の疾患","A","膠原病と類縁疾患","①","若年性特発性関節炎<JIA>","nan","nan","1","3","2","0","3","nan","2","nan","1","3"
